id,date_listed,community,zone,lat,lon,property_category,property_type,bedrooms,area_sqft,area_m2,metro_station,metro_line,metro_distance_min,to_burj_khalifa_km,listing_type,price_usd,price_per_sqft_usd
S000025,2024-10-28,Reem Mira,Reem,25.03505,55.26113,villa,3BR_villa,3,2368,220.0,Salah Al Din,Red,114,18.08,secondary_sale,651100,275
S000026,2024-02-15,Dubai South,Dubai South,24.89718,55.14698,villa,6BR_villa,6,7665,712.1,Dubai Investment Park,Red,44,35.74,secondary_sale,1088500,142
S000027,2021-11-28,Jumeirah Bay Island,Jumeirah,25.20811,55.26012,villa,5BR_villa,5,3929,365.0,Al Ghubaiba,Green,37,1.88,secondary_sale,4899400,1247
S000028,2022-11-13,Bluewaters Island,Dubai Marina,25.06033,55.11686,apartment,1BR,1,703,65.3,Mall of the Emirates,Red,44,21.98,secondary_sale,387100,551
S000029,2025-05-09,DAMAC Lagoons,Damac,25.04289,55.2587,villa,5BR_villa,5,5138,477.3,World Trade Centre,Red,85,17.23,secondary_sale,2286600,445
S000030,2023-11-14,La Mer,Jumeirah,25.22549,55.26794,apartment,3BR,3,1966,182.7,Financial Centre,Red,16,3.21,secondary_sale,2754200,1401
S000031,2021-11-27,Mirdif,Mirdif,25.22056,55.41992,villa,4BR_villa,4,4547,422.4,Abu Baker Al Siddique,Red,51,14.87,secondary_sale,1027100,226
S000032,2022-07-15,Al Qusais,Al Qusais,25.2783,55.37217,apartment,1BR,1,650,60.4,Dubai Airport Free Zone,Green,14,13.34,secondary_sale,117100,180
S000033,2023-11-26,Al Warqa,Al Warqa,25.19755,55.39296,villa,5BR_villa,5,6157,572.0,Oud Metha,Green,42,11.93,secondary_sale,1904700,309
S000034,2025-04-19,Dubai Creek Harbour,Creek,25.18007,55.33206,apartment,1BR,1,830,77.1,Abu Baker Al Siddique,Red,41,6.11,secondary_sale,534800,644
S000035,2023-10-20,The Lakes,Emirates Living,25.0578,55.18297,villa,3BR_villa,3,1318,122.4,MRT-1,Red,30,18.03,secondary_sale,887600,674
S000036,2024-07-02,Dubai Festival City,Festival City,25.22905,55.3551,apartment,3BR,3,2370,220.2,Creek,Green,7,8.86,secondary_sale,988100,417
S000037,2021-07-18,Jumeirah Lake Towers,JLT,25.06998,55.13885,apartment,studio,0,325,30.2,Dubai Investment Park,Red,45,19.65,secondary_sale,62700,193
S000038,2024-08-02,Al Reem,Arabian Ranches,25.04074,55.25307,villa,4BR_villa,4,4264,396.1,Sharaf DG,Red,46,17.53,secondary_sale,1625900,381
S000039,2020-08-30,Dubai Creek Harbour,Creek,25.19546,55.35314,apartment,4BR_penthouse,4,3036,282.0,Oud Metha,Green,28,7.93,secondary_sale,705400,232
S000040,2026-03-18,Maritime City,Maritime City,25.25659,55.24695,apartment,2BR,2,1450,134.7,Union (G),Green,30,7.16,secondary_sale,1089700,752
S000041,2026-03-25,Dubai Marina,Dubai Marina,25.0668,55.14518,apartment,1BR,1,969,90.0,Sharaf DG,Red,28,19.48,secondary_sale,551800,570
S000042,2023-07-07,The Springs,Emirates Living,25.05057,55.17232,villa,5BR_villa,5,5687,528.3,Dubai Internet City,Red,29,19.27,secondary_sale,2501500,440
S000043,2025-09-28,Mudon,Dubailand,25.04168,55.22205,villa,4BR_villa,4,3492,324.4,Expo 2020,Red,62,18.08,secondary_sale,1251400,358
S000044,2021-11-21,The Valley,Dubai-Al Ain Road,24.98142,55.49406,villa,4BR_villa,4,3583,332.8,Emirates Towers,Red,146,32.63,secondary_sale,538300,150
S000045,2021-03-07,Dubai Harbour,Dubai Marina,25.08205,55.14813,apartment,2BR,2,1233,114.5,Dubai Investment Park,Red,51,18.04,secondary_sale,519500,421
S000046,2026-02-01,Al Qusais,Al Qusais,25.28818,55.35943,apartment,1BR,1,709,65.9,Centrepoint,Red,19,13.25,secondary_sale,167000,236
S000047,2022-03-12,Dubai Studio City,Dubai Studio City,25.03699,55.21978,apartment,1BR,1,800,74.4,MRT-1,Red,40,18.64,secondary_sale,188800,236
S000048,2022-09-14,Discovery Gardens,Discovery Gardens,25.03468,55.14559,apartment,4BR_penthouse,4,3220,299.1,Discovery Gardens,Red,8,22.24,secondary_sale,494400,154
S000049,2024-01-08,Pearl Jumeira,Jumeirah,25.22031,55.22941,apartment,3BR,3,1481,137.6,Emirates Towers,Red,20,5.21,secondary_sale,1898000,1281
S000050,2022-12-15,Al Nahda,Al Nahda,25.28304,55.37437,apartment,1BR,1,885,82.3,Stadium,Red,6,13.86,secondary_sale,196200,222
S000051,2020-02-17,Emirates Hills,Emirates Hills,25.05079,55.18117,villa,3BR_villa,3,3189,296.3,Jumeirah Golf Estates,Red,19,18.79,secondary_sale,2029800,637
S000052,2024-11-21,The Valley,Dubai-Al Ain Road,24.97012,55.49731,villa,5BR_villa,5,5210,484.1,Expo 2020,Red,143,33.79,secondary_sale,1190600,229
S000053,2025-03-17,Karama,Bur Dubai,25.25481,55.30314,apartment,studio,0,307,28.6,Max,Red,19,7.03,secondary_sale,84300,274
S000054,2025-01-09,Azizi Riviera,MBR City,25.16434,55.29419,apartment,4BR_penthouse,4,2964,275.4,Mashreq Bank,Red,67,4.16,secondary_sale,1729000,583
S000055,2022-03-04,The Views,The Greens,25.10603,55.18845,apartment,3BR,3,1757,163.2,Dubai Internet City,Red,5,13.33,secondary_sale,589500,335
S000056,2020-12-12,Bulgari Resort,Jumeirah Bay,25.19888,55.24523,apartment,studio,0,404,37.5,Business Bay,Red,19,2.94,secondary_sale,601200,1489
S000057,2021-07-17,Green Community,DIP,24.99498,55.16944,villa,4BR_villa,4,2497,232.0,Expo 2020,Red,27,24.85,secondary_sale,363400,146
S000058,2020-08-18,Damac Hills 2,Damac Hills,24.98743,55.30222,villa,3BR_villa,3,3719,345.5,Expo 2020,Red,60,23.49,secondary_sale,484000,130
S000059,2023-03-11,International City,International City,25.15546,55.4113,apartment,studio,0,452,42.0,Dubai Healthcare City,Green,50,14.54,secondary_sale,60500,134
S000060,2026-03-04,Dubai Hills Estate,Mohammed Bin Rashid,25.11223,55.24276,apartment,1BR,1,744,69.2,Al Qiyadah,Red,96,9.97,secondary_sale,410800,552
S000061,2023-11-19,The Valley,Dubai-Al Ain Road,24.96173,55.49246,villa,6BR_villa,6,5688,528.4,Jumeirah Golf Estates,Red,142,34.17,secondary_sale,1469000,258
S000062,2023-09-12,Al Barsha South,Al Barsha,25.06878,55.21084,apartment,2BR,2,1296,120.4,Financial Centre,Red,69,15.65,secondary_sale,409100,316
S000063,2022-08-13,Al Warqa,Al Warqa,25.19546,55.3846,villa,4BR_villa,4,3364,312.6,Al Jadaf,Green,30,11.09,secondary_sale,794400,236
S000064,2021-10-14,Falcon City of Wonders,Dubailand,25.02679,55.30895,apartment,1BR,1,722,67.1,Ibn Battuta,Red,82,19.26,secondary_sale,129400,179
S000065,2020-01-04,Dubai Marina,Dubai Marina,25.08461,55.14473,apartment,2BR,2,1440,133.8,Discovery Gardens,Red,22,18.09,secondary_sale,604600,420
S000066,2020-05-11,Pearl Jumeira,Jumeirah,25.21606,55.25509,apartment,3BR,3,1943,180.5,Business Bay,Red,22,2.86,secondary_sale,1459000,751
S000067,2023-02-21,Jumeirah Lake Towers,JLT,25.06984,55.14983,apartment,3BR,3,1450,134.7,Mall of the Emirates,Red,39,18.92,secondary_sale,348100,240
S000068,2021-10-31,Emirates Hills,Emirates Hills,25.05282,55.1792,villa,5BR_villa,5,5744,533.6,Al Furjan,Red,21,18.7,secondary_sale,4055000,706
S000069,2022-08-27,Dubai Studio City,Dubai Studio City,25.03112,55.24231,apartment,2BR,2,1054,97.9,Business Bay,Red,73,18.75,secondary_sale,140200,133
S000070,2021-07-24,Bulgari Resort,Jumeirah Bay,25.19056,55.25143,apartment,1BR,1,717,66.6,Al Jafiliya,Red,22,2.43,secondary_sale,1403800,1958
S000071,2026-03-05,Bukadra,Bukadra,25.18659,55.33722,apartment,2BR,2,1297,120.5,Al Jafiliya,Red,37,6.43,secondary_sale,547600,422
S000072,2025-10-10,Deira,Deira,25.27329,55.31142,apartment,3BR,3,1466,136.2,Union (G),Green,6,9.24,secondary_sale,382700,261
S000073,2021-05-20,Mohammed Bin Rashid City,Mohammed Bin Rashid,25.16217,55.29189,villa,5BR_villa,5,4620,429.2,Business Bay,Red,31,4.27,secondary_sale,1904200,412
S000074,2022-07-15,Jumeirah Lake Towers,JLT,25.05565,55.14884,apartment,3BR,3,2302,213.9,Discovery Gardens,Red,16,20.19,secondary_sale,634200,275
S000075,2021-11-12,Al Furjan,Al Furjan,25.03391,55.15518,apartment,2BR,2,1069,99.3,Al Furjan,Red,4,21.77,secondary_sale,295000,276
S000076,2024-04-23,Dubai Silicon Oasis,Dubai Silicon Oasis,25.12707,55.38266,apartment,3BR,3,2256,209.6,Abu Baker Al Siddique,Red,80,13.4,secondary_sale,654100,290
S000077,2021-06-07,Downtown Dubai,Downtown,25.1951,55.26617,apartment,1BR,1,722,67.0,Business Bay,Red,11,0.86,secondary_sale,501200,694
S000078,2023-09-19,Deira,Deira,25.27378,55.30539,apartment,2BR,2,1182,109.8,Union,Red,4,9.07,secondary_sale,334600,283
S000079,2024-06-03,Sustainable City,Sustainable City,24.97909,55.27794,villa,3BR_villa,3,2519,234.0,Al Jafiliya,Red,119,24.25,secondary_sale,751700,298
S000080,2023-06-27,La Mer,Jumeirah,25.22819,55.26839,apartment,3BR,3,1656,153.8,Al Jafiliya,Red,17,3.5,secondary_sale,1901700,1148
S000081,2023-07-27,Dubailand,Dubailand,25.02495,55.314,villa,3BR_villa,3,2795,259.6,Jumeirah Golf Estates,Red,60,19.56,secondary_sale,529000,189
S000082,2021-11-26,The Views,The Greens,25.09596,55.20038,apartment,1BR,1,623,57.9,Dubai Internet City,Red,7,13.5,secondary_sale,205100,329
S000083,2025-01-25,Remraam,Dubailand,25.00829,55.26239,apartment,3BR,3,872,81.0,Ibn Battuta,Red,61,21.04,secondary_sale,167300,192
S000084,2022-12-18,Deira,Deira,25.26366,55.31032,apartment,2BR,2,1313,122.0,Baniyas Square,Red,8,8.23,secondary_sale,531800,405
S000085,2025-01-19,Arabian Ranches 2,Arabian Ranches,25.06074,55.2932,villa,4BR_villa,4,4979,462.5,Sharaf DG,Red,51,15.29,secondary_sale,3061500,615
S000086,2023-07-05,Dubai Silicon Oasis,Dubai Silicon Oasis,25.11708,55.37697,apartment,1BR,1,843,78.3,Al Jadaf,Green,54,13.64,secondary_sale,194100,230
S000087,2024-03-25,City Walk,Al Wasl,25.19064,55.23783,apartment,4BR_penthouse,4,2738,254.3,Financial Centre,Red,13,3.75,secondary_sale,2855100,1043
S000088,2024-12-22,Discovery Gardens,Discovery Gardens,25.0294,55.14006,apartment,1BR,1,747,69.4,MRT-1,Red,12,23.05,secondary_sale,130700,175
S000089,2025-07-22,Umm Suqeim,Jumeirah,25.14722,55.18684,villa,4BR_villa,4,2018,187.4,Max,Red,57,10.42,secondary_sale,1758700,872
S000090,2024-06-19,Jebel Ali,Jebel Ali,25.01583,55.10961,apartment,3BR,3,1729,160.6,Danube,Red,19,26.12,secondary_sale,304800,176
S000091,2023-08-20,The Springs,Emirates Living,25.04529,55.17243,villa,4BR_villa,4,3048,283.1,Al Furjan,Red,19,19.77,secondary_sale,1580400,519
S000092,2023-05-20,Arabian Ranches 3,Arabian Ranches,25.05682,55.30496,villa,6BR_villa,6,9772,907.8,Discovery Gardens,Red,64,15.91,secondary_sale,4700800,481
S000093,2025-07-06,Dubai Festival City,Festival City,25.23797,55.36352,apartment,1BR,1,705,65.5,Creek,Green,5,10.05,secondary_sale,399300,567
S000094,2022-04-16,Jumeirah 1,Jumeirah,25.21698,55.25913,apartment,2BR,2,1311,121.8,Burj Khalifa/Dubai Mall,Red,23,2.68,secondary_sale,1019400,777
S000095,2024-08-01,Business Bay,Business Bay,25.17872,55.27719,apartment,3BR,3,2317,215.3,Business Bay,Red,5,2.07,secondary_sale,1226900,529
S000096,2020-12-08,Jumeirah Lake Towers,JLT,25.07894,55.13077,apartment,2BR,2,1251,116.2,UAE Pavilion,Red,23,19.54,secondary_sale,234700,188
S000097,2025-05-16,Al Nahda,Al Nahda,25.29796,55.36575,apartment,2BR,2,1158,107.6,Stadium,Red,7,14.49,secondary_sale,221800,192
S000098,2023-05-12,Dubai Marina,Dubai Marina,25.07985,55.14248,apartment,1BR,1,697,64.8,Al Ghubaiba,Green,103,18.62,secondary_sale,407100,584
S000099,2021-10-15,Tilal Al Ghaf,Tilal Al Ghaf,25.01986,55.27156,villa,3BR_villa,3,3055,283.8,Oud Metha,Green,105,19.72,secondary_sale,747000,245
S000100,2022-09-09,International City,International City,25.16547,55.41005,apartment,3BR,3,1814,168.5,First Abu Dhabi Bank,Red,80,14.1,secondary_sale,186800,103
S000101,2020-12-22,Mudon,Dubailand,25.05263,55.25314,villa,3BR_villa,3,3025,281.0,Dubai Investment Park,Red,46,16.22,secondary_sale,475400,157
S000102,2025-03-31,Jumeirah Beach Residence,Dubai Marina,25.08164,55.12946,apartment,studio,0,362,33.6,Discovery Gardens,Red,23,19.44,secondary_sale,310500,859
S000103,2021-02-07,The Lakes,Emirates Living,25.05448,55.16079,villa,3BR_villa,3,2834,263.3,Creek,Green,105,19.56,secondary_sale,661700,233
S000104,2025-08-18,Dubailand,Dubailand,25.01768,55.32911,villa,5BR_villa,5,6171,573.3,Jumeirah Golf Estates,Red,58,20.71,secondary_sale,894600,145
S000105,2024-11-15,Living Legends,Dubailand,25.08416,55.2792,villa,5BR_villa,5,5956,553.3,Danube,Red,84,12.58,secondary_sale,1632600,274
S000106,2022-07-20,Al Reem,Arabian Ranches,25.03983,55.25672,villa,5BR_villa,5,4634,430.6,Dubai Investment Park,Red,52,17.59,secondary_sale,1605800,346
S000107,2020-01-13,Jumeirah 1,Jumeirah,25.23377,55.27228,apartment,1BR,1,724,67.2,BurJuman,Red,28,4.07,secondary_sale,328300,454
S000108,2020-11-20,Reem Mira,Reem,25.04402,55.27643,villa,5BR_villa,5,3090,287.1,Mashreq Bank,Red,53,17.03,secondary_sale,545400,177
S000109,2021-07-22,Business Bay,Business Bay,25.18693,55.26646,apartment,2BR,2,1189,110.5,Business Bay,Red,5,1.39,secondary_sale,409500,344
S000110,2020-11-08,Dubai Hills Estate,Mohammed Bin Rashid,25.11554,55.25758,villa,4BR_villa,4,5840,542.6,Union,Red,76,9.24,secondary_sale,1675700,287
S000111,2025-06-06,The Meadows,Emirates Living,25.05237,55.15635,villa,4BR_villa,4,3218,299.0,Mall of the Emirates,Red,39,20.02,secondary_sale,1336100,415
S000112,2020-09-29,Al Qusais,Al Qusais,25.28411,55.34919,apartment,1BR,1,756,70.3,Al Nahda (G),Green,15,12.25,secondary_sale,76100,101
S000113,2024-07-26,Palm Jumeirah,Palm Jumeirah,25.10681,55.13793,villa,6BR_villa,6,5680,527.7,BurJuman (G),Green,96,17.02,secondary_sale,6186700,1089
S000114,2021-07-30,Expo City,Dubai South,24.95288,55.15668,apartment,1BR,1,869,80.7,Expo 2020,Red,6,29.64,secondary_sale,137800,159
S000115,2022-08-20,Bluewaters Island,Dubai Marina,25.0651,55.12744,apartment,3BR,3,1746,162.2,Stadium (G),Green,142,20.85,secondary_sale,1525100,874
S000116,2022-05-08,Maritime City,Maritime City,25.26509,55.24485,apartment,1BR,1,978,90.9,BurJuman (G),Green,26,8.11,secondary_sale,410900,420
S000117,2025-03-28,DAMAC Lagoons,Damac,25.05059,55.26345,villa,3BR_villa,3,3324,308.8,Abu Baker Al Siddique (G),Green,110,16.34,secondary_sale,1101800,331
S000118,2023-04-21,Al Nahda,Al Nahda,25.28151,55.37705,apartment,2BR,2,1097,101.9,Stadium (G),Green,4,13.95,secondary_sale,223100,203
S000119,2024-11-02,Expo City,Dubai South,24.94975,55.14985,apartment,1BR,1,857,79.6,Expo 2020,Red,6,30.24,secondary_sale,196600,229
S000120,2024-04-26,Discovery Gardens,Discovery Gardens,25.04258,55.13246,apartment,studio,0,366,34.0,Discovery Gardens,Red,8,22.36,secondary_sale,79400,217
S000121,2025-11-14,Bukadra,Bukadra,25.16826,55.33962,apartment,1BR,1,615,57.2,Emirates Towers,Red,29,7.31,secondary_sale,196600,319
S000122,2020-01-02,The Views,The Greens,25.10056,55.16808,apartment,1BR,1,714,66.3,Mashreq Bank,Red,10,15.17,secondary_sale,157300,220
S000123,2025-09-24,The Lakes,Emirates Living,25.06231,55.19519,villa,4BR_villa,4,3828,355.6,Jumeirah Golf Estates,Red,19,16.99,secondary_sale,1839700,481
S000124,2022-07-17,Majan,Dubailand,25.07146,55.26759,apartment,1BR,1,827,76.9,Business Bay,Red,55,14.0,secondary_sale,190900,231
S000125,2023-08-23,Discovery Gardens,Discovery Gardens,25.04226,55.13458,apartment,1BR,1,927,86.2,Ibn Battuta,Red,21,22.25,secondary_sale,176400,190
S000126,2021-08-12,Motor City,Motor City,25.03832,55.25595,apartment,1BR,1,831,77.2,Al Jafiliya,Red,91,17.76,secondary_sale,132600,160
S000127,2023-06-20,The Valley,Dubai-Al Ain Road,24.97084,55.51371,villa,6BR_villa,6,6555,609.0,Business Bay,Red,139,34.85,secondary_sale,1143100,174
S000128,2020-04-16,Madinat Jumeirah Living,Jumeirah,25.1239,55.16213,apartment,3BR,3,1836,170.5,MRT-1,Red,55,13.93,secondary_sale,1032800,563
S000129,2022-11-17,The Greens,The Greens,25.10218,55.16936,apartment,1BR,1,696,64.7,Mall of the Emirates,Red,21,14.95,secondary_sale,263700,379
S000130,2023-06-25,Arabian Ranches 2,Arabian Ranches,25.06122,55.25194,villa,3BR_villa,3,1341,124.6,Sharaf DG,Red,50,15.29,secondary_sale,606100,452
S000131,2025-11-14,Damac Hills 2,Damac Hills,24.96173,55.27806,villa,5BR_villa,5,5980,555.5,Discovery Gardens,Red,79,26.19,secondary_sale,1124400,188
S000132,2025-11-11,Dubai South,Dubai South,24.89579,55.15415,apartment,2BR,2,764,71.0,Expo 2020,Red,24,35.64,secondary_sale,100500,132
S000133,2022-10-28,Bluewaters Island,Dubai Marina,25.07829,55.11983,villa,5BR_villa,5,4673,434.1,Discovery Gardens,Red,22,20.42,secondary_sale,3360000,719
S000134,2022-09-10,Dubai Creek Harbour,Creek,25.19398,55.34057,apartment,2BR,2,1354,125.8,Dubai Internet City,Red,89,6.67,secondary_sale,443700,328
S000135,2025-05-28,Dubai Creek Harbour,Creek,25.21371,55.34458,apartment,3BR,3,1991,185.0,Centrepoint,Red,42,7.3,secondary_sale,1198900,602
S000136,2025-01-08,Mirdif,Mirdif,25.22127,55.41766,villa,6BR_villa,6,6887,639.8,Financial Centre,Red,61,14.66,secondary_sale,2255400,327
S000137,2025-11-19,Palm Jumeirah,Palm Jumeirah,25.10845,55.14691,apartment,4BR_penthouse,4,3091,287.2,Ibn Battuta,Red,40,16.19,secondary_sale,3291600,1065
S000138,2021-04-07,Discovery Gardens,Discovery Gardens,25.04728,55.15398,apartment,2BR,2,1399,130.0,Jumeirah Golf Estates,Red,14,20.61,secondary_sale,143400,102
S000139,2020-03-31,La Mer,Jumeirah,25.24078,55.26727,apartment,1BR,1,1093,101.5,Al Jafiliya,Red,13,4.9,secondary_sale,857600,785
S000140,2021-02-15,Falcon City of Wonders,Dubailand,25.03572,55.31065,apartment,studio,0,492,45.8,Mashreq Bank,Red,66,18.32,secondary_sale,59000,120
S000141,2020-07-26,Dubai Studio City,Dubai Studio City,25.04604,55.22658,apartment,studio,0,358,33.2,Dubai Investment Park,Red,40,17.48,secondary_sale,52200,146
S000142,2025-02-06,Maritime City,Maritime City,25.27721,55.24443,apartment,1BR,1,653,60.7,Emirates Towers,Red,33,9.39,secondary_sale,322500,493
S000143,2022-08-15,Jumeirah 2,Jumeirah,25.21453,55.24481,apartment,1BR,1,774,71.9,Al Jafiliya,Red,24,3.55,secondary_sale,636300,822
S000144,2022-03-24,Al Reem,Arabian Ranches,25.05099,55.27816,villa,4BR_villa,4,4096,380.5,Stadium,Red,121,16.26,secondary_sale,1323600,323
S000145,2021-01-18,The Views,The Greens,25.10885,55.16284,apartment,studio,0,482,44.7,Sharaf DG,Red,10,14.92,secondary_sale,138100,287
S000146,2021-08-25,The Valley,Dubai-Al Ain Road,24.96984,55.50697,villa,4BR_villa,4,4274,397.1,MRT-1,Red,152,34.46,secondary_sale,444400,104
S000147,2025-12-29,Mira,Reem,25.04582,55.26652,villa,4BR_villa,4,3204,297.7,Expo 2020,Red,68,16.85,secondary_sale,772900,241
S000148,2025-01-20,Mira,Reem,25.04129,55.27308,villa,5BR_villa,5,5216,484.5,Discovery Gardens,Red,60,17.34,secondary_sale,1437100,276
S000149,2023-12-19,Dubai Sports City,Dubai Sports City,25.04689,55.21479,apartment,1BR,1,652,60.6,Sharaf DG,Red,40,17.76,secondary_sale,155000,238
S000150,2022-11-25,Mudon,Dubailand,25.05069,55.24147,villa,3BR_villa,3,2367,219.9,Al Qusais,Green,118,16.63,secondary_sale,681100,288
S000151,2024-06-26,Emirates Hills,Emirates Hills,25.04928,55.15917,villa,5BR_villa,5,5450,506.3,Discovery Gardens,Red,15,20.13,secondary_sale,6137800,1126
S000152,2024-06-24,Jumeirah Village Circle,JVC,25.0594,55.18142,apartment,2BR,2,1389,129.0,Dubai Investment Park,Red,35,17.96,secondary_sale,322900,233
S000153,2023-04-20,Living Legends,Dubailand,25.06623,55.29253,apartment,2BR,2,1310,121.7,Ibn Battuta,Red,77,14.68,secondary_sale,364200,278
S000154,2022-07-20,Bluewaters Island,Dubai Marina,25.08267,55.12936,apartment,1BR,1,382,35.5,First Abu Dhabi Bank,Red,53,19.37,secondary_sale,320700,839
S000155,2023-08-05,Al Furjan,Al Furjan,25.02655,55.14212,apartment,studio,0,486,45.1,Al Furjan,Red,4,23.18,secondary_sale,115100,237
S000156,2023-06-21,Tilal Al Ghaf,Tilal Al Ghaf,25.01745,55.26595,villa,4BR_villa,4,3455,321.0,Business Bay,Red,84,20.01,secondary_sale,1439700,417
S000157,2020-05-21,Jumeirah Islands,Emirates Living,25.05436,55.174,villa,4BR_villa,4,4094,380.3,Mashreq Bank,Red,24,18.83,secondary_sale,1152400,282
S000158,2020-12-14,Al Nahda,Al Nahda,25.29049,55.37874,apartment,studio,0,411,38.2,Baniyas Square (G),Green,36,14.76,secondary_sale,46700,114
S000159,2021-03-13,Deira,Deira,25.27967,55.32886,apartment,studio,0,510,47.4,Union (G),Green,6,10.68,secondary_sale,73500,144
S000160,2022-08-21,Damac Hills,Damac Hills,25.02616,55.23273,apartment,1BR,1,928,86.2,Jebel Ali,Red,58,19.48,secondary_sale,200000,216
S000161,2023-12-30,Dubai Investment Park,DIP,24.99664,55.15847,apartment,2BR,2,1145,106.4,UAE Pavilion,Red,32,25.17,secondary_sale,195900,171
S000162,2023-05-31,Azizi Riviera,MBR City,25.16607,55.27623,apartment,1BR,1,611,56.7,Burj Khalifa/Dubai Mall,Red,20,3.47,secondary_sale,283800,465
S000163,2025-07-10,Jumeirah 2,Jumeirah,25.20238,55.22167,villa,3BR_villa,3,3588,333.3,Al Jafiliya,Red,23,5.34,secondary_sale,3343800,932
S000164,2024-12-13,Al Barsha,Al Barsha,25.10234,55.1912,apartment,1BR,1,681,63.2,Mall of the Emirates,Red,12,13.47,secondary_sale,222200,326
S000165,2025-11-23,Pearl Jumeira,Jumeirah,25.21877,55.25049,apartment,2BR,2,1348,125.2,Oud Metha,Green,31,3.4,secondary_sale,2185700,1622
S000166,2025-07-27,Dubai Festival City,Festival City,25.22448,55.36787,apartment,1BR,1,529,49.1,Al Jadaf,Green,15,9.88,secondary_sale,197800,374
